frame,ID,x,y,w,h,scenefolderpath,crossing_true,filename
0,pedestrian1,859.0,686.0,20.0,41.0,JAAD\scene\0226,0,0000.png
1,pedestrian1,858.0,686.0,16.0,42.0,JAAD\scene\0226,0,0001.png
2,pedestrian1,855.0,687.0,16.0,42.0,JAAD\scene\0226,0,0002.png
3,pedestrian1,852.0,687.0,16.0,43.0,JAAD\scene\0226,0,0003.png
4,pedestrian1,849.0,687.0,16.0,43.0,JAAD\scene\0226,0,0004.png
5,pedestrian1,846.0,685.0,17.0,44.0,JAAD\scene\0226,0,0005.png
6,pedestrian1,842.0,684.0,17.0,45.0,JAAD\scene\0226,0,0006.png
7,pedestrian1,839.0,682.0,18.0,46.0,JAAD\scene\0226,0,0007.png
8,pedestrian1,836.0,680.0,18.0,46.0,JAAD\scene\0226,0,0008.png
9,pedestrian1,833.0,679.0,19.0,46.0,JAAD\scene\0226,0,0009.png
10,pedestrian1,830.0,677.0,19.0,46.0,JAAD\scene\0226,0,0010.png
11,pedestrian1,827.0,674.0,19.0,48.0,JAAD\scene\0226,0,0011.png
12,pedestrian1,825.0,671.0,20.0,49.0,JAAD\scene\0226,0,0012.png
13,pedestrian1,822.0,668.0,20.0,51.0,JAAD\scene\0226,0,0013.png
14,pedestrian1,819.0,670.0,20.0,51.0,JAAD\scene\0226,0,0014.png
15,pedestrian1,816.0,671.0,20.0,50.0,JAAD\scene\0226,0,0015.png
16,pedestrian1,813.0,673.0,20.0,50.0,JAAD\scene\0226,0,0016.png
17,pedestrian1,811.0,676.0,20.0,51.0,JAAD\scene\0226,0,0017.png
18,pedestrian1,809.0,679.0,20.0,53.0,JAAD\scene\0226,0,0018.png
19,pedestrian1,807.0,682.0,20.0,54.0,JAAD\scene\0226,1,0019.png
20,pedestrian1,805.0,685.0,20.0,55.0,JAAD\scene\0226,1,0020.png
21,pedestrian1,802.0,685.0,20.0,56.0,JAAD\scene\0226,1,0021.png
22,pedestrian1,799.0,684.0,20.0,57.0,JAAD\scene\0226,1,0022.png
23,pedestrian1,796.0,684.0,20.0,58.0,JAAD\scene\0226,1,0023.png
24,pedestrian1,793.0,681.0,20.0,58.0,JAAD\scene\0226,1,0024.png
25,pedestrian1,789.0,679.0,20.0,58.0,JAAD\scene\0226,1,0025.png
26,pedestrian1,786.0,676.0,20.0,58.0,JAAD\scene\0226,1,0026.png
27,pedestrian1,781.0,672.0,22.0,59.0,JAAD\scene\0226,1,0027.png
28,pedestrian1,776.0,668.0,24.0,61.0,JAAD\scene\0226,1,0028.png
29,pedestrian1,771.0,664.0,26.0,62.0,JAAD\scene\0226,1,0029.png
30,pedestrian1,767.0,662.0,26.0,64.0,JAAD\scene\0226,1,0030.png
31,pedestrian1,762.0,659.0,26.0,66.0,JAAD\scene\0226,1,0031.png
32,pedestrian1,758.0,657.0,26.0,68.0,JAAD\scene\0226,1,0032.png
33,pedestrian1,754.0,660.0,26.0,68.0,JAAD\scene\0226,1,0033.png
34,pedestrian1,750.0,662.0,27.0,67.0,JAAD\scene\0226,1,0034.png
35,pedestrian1,746.0,665.0,27.0,67.0,JAAD\scene\0226,1,0035.png
