frame,ID,x,y,w,h,scenefolderpath,crossing_true,filename
0,pedestrian,730.0,697.0,21.0,44.0,JAAD\scene\0212,1,0000.png
1,pedestrian,730.0,698.0,22.0,43.0,JAAD\scene\0212,1,0001.png
2,pedestrian,730.0,698.0,22.0,43.0,JAAD\scene\0212,1,0002.png
3,pedestrian,730.0,699.0,23.0,42.0,JAAD\scene\0212,1,0003.png
4,pedestrian,730.0,699.0,23.0,41.0,JAAD\scene\0212,1,0004.png
5,pedestrian,731.0,698.0,22.0,42.0,JAAD\scene\0212,1,0005.png
6,pedestrian,731.0,698.0,22.0,42.0,JAAD\scene\0212,1,0006.png
7,pedestrian,732.0,697.0,21.0,43.0,JAAD\scene\0212,1,0007.png
8,pedestrian,732.0,696.0,21.0,43.0,JAAD\scene\0212,1,0008.png
9,pedestrian,732.0,694.0,21.0,44.0,JAAD\scene\0212,1,0009.png
10,pedestrian,732.0,693.0,21.0,44.0,JAAD\scene\0212,1,0010.png
11,pedestrian,732.0,694.0,21.0,43.0,JAAD\scene\0212,1,0011.png
12,pedestrian,732.0,696.0,21.0,42.0,JAAD\scene\0212,1,0012.png
13,pedestrian,732.0,697.0,21.0,41.0,JAAD\scene\0212,1,0013.png
14,pedestrian,731.0,696.0,22.0,43.0,JAAD\scene\0212,1,0014.png
15,pedestrian,730.0,696.0,23.0,46.0,JAAD\scene\0212,1,0015.png
16,pedestrian,729.0,695.0,24.0,48.0,JAAD\scene\0212,1,0016.png
17,pedestrian,729.0,695.0,24.0,49.0,JAAD\scene\0212,1,0017.png
18,pedestrian,728.0,694.0,25.0,49.0,JAAD\scene\0212,1,0018.png
19,pedestrian,728.0,694.0,25.0,50.0,JAAD\scene\0212,1,0019.png
20,pedestrian,729.0,696.0,24.0,47.0,JAAD\scene\0212,1,0020.png
21,pedestrian,729.0,697.0,24.0,45.0,JAAD\scene\0212,1,0021.png
22,pedestrian,730.0,699.0,23.0,42.0,JAAD\scene\0212,1,0022.png
23,pedestrian,730.0,698.0,23.0,43.0,JAAD\scene\0212,1,0023.png
24,pedestrian,729.0,697.0,23.0,43.0,JAAD\scene\0212,1,0024.png
25,pedestrian,729.0,696.0,23.0,44.0,JAAD\scene\0212,1,0025.png
26,pedestrian,729.0,695.0,23.0,45.0,JAAD\scene\0212,1,0026.png
27,pedestrian,730.0,694.0,23.0,47.0,JAAD\scene\0212,1,0027.png
28,pedestrian,730.0,693.0,23.0,48.0,JAAD\scene\0212,1,0028.png
29,pedestrian,728.0,691.0,25.0,50.0,JAAD\scene\0212,1,0029.png
30,pedestrian,727.0,688.0,26.0,51.0,JAAD\scene\0212,1,0030.png
31,pedestrian,725.0,686.0,28.0,53.0,JAAD\scene\0212,1,0031.png
32,pedestrian,725.0,686.0,27.0,53.0,JAAD\scene\0212,1,0032.png
33,pedestrian,724.0,685.0,27.0,53.0,JAAD\scene\0212,1,0033.png
34,pedestrian,724.0,685.0,26.0,53.0,JAAD\scene\0212,1,0034.png
35,pedestrian,724.0,684.0,26.0,54.0,JAAD\scene\0212,1,0035.png
36,pedestrian,725.0,683.0,25.0,54.0,JAAD\scene\0212,1,0036.png
37,pedestrian,725.0,682.0,25.0,55.0,JAAD\scene\0212,1,0037.png
38,pedestrian,724.0,681.0,24.0,56.0,JAAD\scene\0212,1,0038.png
39,pedestrian,724.0,680.0,24.0,56.0,JAAD\scene\0212,1,0039.png
40,pedestrian,723.0,679.0,23.0,57.0,JAAD\scene\0212,1,0040.png
41,pedestrian,722.0,678.0,22.0,57.0,JAAD\scene\0212,1,0041.png
42,pedestrian,721.0,677.0,23.0,58.0,JAAD\scene\0212,1,0042.png
43,pedestrian,720.0,677.0,24.0,59.0,JAAD\scene\0212,1,0043.png
44,pedestrian,719.0,676.0,25.0,60.0,JAAD\scene\0212,1,0044.png
45,pedestrian,718.0,676.0,27.0,59.0,JAAD\scene\0212,1,0045.png
46,pedestrian,718.0,677.0,28.0,59.0,JAAD\scene\0212,1,0046.png
47,pedestrian,717.0,677.0,30.0,58.0,JAAD\scene\0212,1,0047.png
48,pedestrian,715.0,678.0,31.0,57.0,JAAD\scene\0212,1,0048.png
49,pedestrian,714.0,678.0,31.0,57.0,JAAD\scene\0212,1,0049.png
50,pedestrian,712.0,679.0,32.0,56.0,JAAD\scene\0212,1,0050.png
51,pedestrian,714.0,679.0,29.0,57.0,JAAD\scene\0212,1,0051.png
52,pedestrian,715.0,678.0,27.0,59.0,JAAD\scene\0212,1,0052.png
53,pedestrian,717.0,678.0,24.0,60.0,JAAD\scene\0212,1,0053.png
54,pedestrian,716.0,677.0,26.0,62.0,JAAD\scene\0212,1,0054.png
55,pedestrian,715.0,677.0,28.0,63.0,JAAD\scene\0212,1,0055.png
56,pedestrian,714.0,676.0,29.0,65.0,JAAD\scene\0212,1,0056.png
57,pedestrian,713.0,675.0,31.0,66.0,JAAD\scene\0212,1,0057.png
58,pedestrian,713.0,674.0,31.0,66.0,JAAD\scene\0212,1,0058.png
59,pedestrian,713.0,673.0,31.0,66.0,JAAD\scene\0212,1,0059.png
60,pedestrian,713.0,671.0,31.0,65.0,JAAD\scene\0212,1,0060.png
61,pedestrian,713.0,670.0,31.0,65.0,JAAD\scene\0212,1,0061.png
62,pedestrian,711.0,669.0,33.0,65.0,JAAD\scene\0212,1,0062.png
63,pedestrian,709.0,668.0,34.0,66.0,JAAD\scene\0212,1,0063.png
64,pedestrian,707.0,667.0,36.0,66.0,JAAD\scene\0212,1,0064.png
65,pedestrian,707.0,668.0,36.0,67.0,JAAD\scene\0212,1,0065.png
66,pedestrian,706.0,670.0,35.0,68.0,JAAD\scene\0212,1,0066.png
67,pedestrian,706.0,671.0,35.0,68.0,JAAD\scene\0212,1,0067.png
68,pedestrian,705.0,672.0,34.0,69.0,JAAD\scene\0212,1,0068.png
69,pedestrian,704.0,672.0,34.0,70.0,JAAD\scene\0212,1,0069.png
70,pedestrian,704.0,671.0,34.0,71.0,JAAD\scene\0212,1,0070.png
71,pedestrian,703.0,671.0,34.0,71.0,JAAD\scene\0212,1,0071.png
72,pedestrian,702.0,670.0,34.0,72.0,JAAD\scene\0212,1,0072.png
73,pedestrian,704.0,670.0,32.0,72.0,JAAD\scene\0212,1,0073.png
74,pedestrian,707.0,669.0,31.0,73.0,JAAD\scene\0212,1,0074.png
75,pedestrian,709.0,669.0,29.0,73.0,JAAD\scene\0212,1,0075.png
76,pedestrian,709.0,669.0,31.0,75.0,JAAD\scene\0212,1,0076.png
77,pedestrian,708.0,669.0,33.0,76.0,JAAD\scene\0212,1,0077.png
78,pedestrian,708.0,669.0,34.0,78.0,JAAD\scene\0212,1,0078.png
79,pedestrian,707.0,669.0,36.0,79.0,JAAD\scene\0212,1,0079.png
80,pedestrian,705.0,671.0,39.0,79.0,JAAD\scene\0212,1,0080.png
81,pedestrian,703.0,672.0,42.0,78.0,JAAD\scene\0212,1,0081.png
82,pedestrian,701.0,674.0,45.0,78.0,JAAD\scene\0212,1,0082.png
83,pedestrian,700.0,675.0,44.0,79.0,JAAD\scene\0212,1,0083.png
84,pedestrian,700.0,675.0,42.0,79.0,JAAD\scene\0212,1,0084.png
85,pedestrian,699.0,676.0,41.0,80.0,JAAD\scene\0212,1,0085.png
86,pedestrian,702.0,676.0,38.0,81.0,JAAD\scene\0212,1,0086.png
87,pedestrian,705.0,676.0,36.0,82.0,JAAD\scene\0212,1,0087.png
88,pedestrian,707.0,676.0,33.0,82.0,JAAD\scene\0212,1,0088.png
89,pedestrian,710.0,676.0,30.0,83.0,JAAD\scene\0212,1,0089.png
90,pedestrian,710.0,675.0,31.0,84.0,JAAD\scene\0212,1,0090.png
91,pedestrian,711.0,673.0,33.0,86.0,JAAD\scene\0212,1,0091.png
92,pedestrian,711.0,672.0,34.0,87.0,JAAD\scene\0212,1,0092.png
93,pedestrian,711.0,672.0,38.0,88.0,JAAD\scene\0212,1,0093.png
94,pedestrian,711.0,672.0,41.0,88.0,JAAD\scene\0212,1,0094.png
95,pedestrian,711.0,672.0,45.0,89.0,JAAD\scene\0212,1,0095.png
96,pedestrian,710.0,673.0,46.0,89.0,JAAD\scene\0212,1,0096.png
97,pedestrian,708.0,673.0,48.0,90.0,JAAD\scene\0212,1,0097.png
98,pedestrian,707.0,674.0,49.0,90.0,JAAD\scene\0212,1,0098.png
99,pedestrian,708.0,674.0,48.0,91.0,JAAD\scene\0212,1,0099.png
100,pedestrian,709.0,674.0,48.0,91.0,JAAD\scene\0212,1,0100.png
101,pedestrian,710.0,674.0,47.0,92.0,JAAD\scene\0212,1,0101.png
102,pedestrian,710.0,674.0,46.0,92.0,JAAD\scene\0212,1,0102.png
103,pedestrian,711.0,674.0,45.0,93.0,JAAD\scene\0212,1,0103.png
104,pedestrian,711.0,674.0,44.0,93.0,JAAD\scene\0212,1,0104.png
105,pedestrian,713.0,672.0,43.0,95.0,JAAD\scene\0212,1,0105.png
106,pedestrian,714.0,671.0,43.0,96.0,JAAD\scene\0212,1,0106.png
107,pedestrian,716.0,669.0,42.0,98.0,JAAD\scene\0212,1,0107.png
108,pedestrian,716.0,668.0,45.0,99.0,JAAD\scene\0212,1,0108.png
109,pedestrian,717.0,668.0,48.0,101.0,JAAD\scene\0212,1,0109.png
110,pedestrian,717.0,667.0,51.0,102.0,JAAD\scene\0212,1,0110.png
111,pedestrian,717.0,666.0,54.0,103.0,JAAD\scene\0212,1,0111.png
112,pedestrian,719.0,667.0,54.0,103.0,JAAD\scene\0212,1,0112.png
113,pedestrian,722.0,667.0,53.0,104.0,JAAD\scene\0212,1,0113.png
114,pedestrian,724.0,668.0,53.0,104.0,JAAD\scene\0212,1,0114.png
115,pedestrian,724.0,668.0,53.0,105.0,JAAD\scene\0212,1,0115.png
116,pedestrian,723.0,668.0,53.0,107.0,JAAD\scene\0212,1,0116.png
117,pedestrian,723.0,668.0,52.0,108.0,JAAD\scene\0212,1,0117.png
118,pedestrian,722.0,668.0,52.0,109.0,JAAD\scene\0212,1,0118.png
119,pedestrian,724.0,669.0,51.0,110.0,JAAD\scene\0212,1,0119.png
120,pedestrian,726.0,669.0,49.0,111.0,JAAD\scene\0212,1,0120.png
121,pedestrian,727.0,670.0,48.0,112.0,JAAD\scene\0212,1,0121.png
122,pedestrian,729.0,670.0,46.0,113.0,JAAD\scene\0212,1,0122.png
123,pedestrian,730.0,668.0,47.0,116.0,JAAD\scene\0212,1,0123.png
124,pedestrian,732.0,667.0,47.0,118.0,JAAD\scene\0212,1,0124.png
125,pedestrian,733.0,665.0,48.0,121.0,JAAD\scene\0212,1,0125.png
126,pedestrian,735.0,665.0,53.0,121.0,JAAD\scene\0212,1,0126.png
127,pedestrian,736.0,665.0,58.0,121.0,JAAD\scene\0212,1,0127.png
128,pedestrian,738.0,664.0,62.0,121.0,JAAD\scene\0212,1,0128.png
129,pedestrian,739.0,664.0,67.0,121.0,JAAD\scene\0212,1,0129.png
130,pedestrian,738.0,663.0,68.0,123.0,JAAD\scene\0212,1,0130.png
131,pedestrian,738.0,662.0,69.0,126.0,JAAD\scene\0212,1,0131.png
132,pedestrian,737.0,661.0,70.0,128.0,JAAD\scene\0212,1,0132.png
133,pedestrian,736.0,660.0,71.0,129.0,JAAD\scene\0212,1,0133.png
134,pedestrian,734.0,660.0,73.0,131.0,JAAD\scene\0212,1,0134.png
135,pedestrian,733.0,659.0,74.0,132.0,JAAD\scene\0212,1,0135.png
136,pedestrian,737.0,660.0,70.0,132.0,JAAD\scene\0212,1,0136.png
137,pedestrian,741.0,661.0,67.0,132.0,JAAD\scene\0212,1,0137.png
138,pedestrian,745.0,661.0,63.0,131.0,JAAD\scene\0212,1,0138.png
139,pedestrian,749.0,662.0,59.0,131.0,JAAD\scene\0212,1,0139.png
140,pedestrian,752.0,661.0,58.0,133.0,JAAD\scene\0212,1,0140.png
141,pedestrian,756.0,661.0,58.0,136.0,JAAD\scene\0212,1,0141.png
