frame,ID,x,y,w,h,scenefolderpath,crossing_true,filename
0,pedestrian,564.0,771.0,20.0,86.0,JAAD\scene\0038,1,0000.png
1,pedestrian,566.0,771.0,17.0,86.0,JAAD\scene\0038,1,0001.png
2,pedestrian,567.0,772.0,18.0,87.0,JAAD\scene\0038,1,0002.png
3,pedestrian,567.0,772.0,18.0,87.0,JAAD\scene\0038,1,0003.png
4,pedestrian,567.0,772.0,19.0,87.0,JAAD\scene\0038,1,0004.png
5,pedestrian,567.0,772.0,21.0,87.0,JAAD\scene\0038,1,0005.png
6,pedestrian,567.0,772.0,22.0,87.0,JAAD\scene\0038,1,0006.png
7,pedestrian,568.0,771.0,24.0,87.0,JAAD\scene\0038,1,0007.png
8,pedestrian,568.0,771.0,25.0,87.0,JAAD\scene\0038,1,0008.png
9,pedestrian,568.0,771.0,27.0,87.0,JAAD\scene\0038,1,0009.png
10,pedestrian,568.0,771.0,29.0,88.0,JAAD\scene\0038,1,0010.png
11,pedestrian,568.0,770.0,31.0,89.0,JAAD\scene\0038,1,0011.png
12,pedestrian,568.0,770.0,32.0,89.0,JAAD\scene\0038,1,0012.png
13,pedestrian,568.0,769.0,34.0,90.0,JAAD\scene\0038,1,0013.png
14,pedestrian,568.0,769.0,36.0,91.0,JAAD\scene\0038,1,0014.png
15,pedestrian,570.0,769.0,36.0,91.0,JAAD\scene\0038,1,0015.png
16,pedestrian,572.0,769.0,37.0,92.0,JAAD\scene\0038,1,0016.png
17,pedestrian,573.0,769.0,37.0,92.0,JAAD\scene\0038,1,0017.png
18,pedestrian,575.0,768.0,38.0,93.0,JAAD\scene\0038,1,0018.png
19,pedestrian,577.0,768.0,38.0,93.0,JAAD\scene\0038,1,0019.png
20,pedestrian,579.0,768.0,38.0,93.0,JAAD\scene\0038,1,0020.png
21,pedestrian,581.0,768.0,39.0,94.0,JAAD\scene\0038,1,0021.png
22,pedestrian,582.0,768.0,39.0,94.0,JAAD\scene\0038,1,0022.png
23,pedestrian,584.0,768.0,40.0,95.0,JAAD\scene\0038,1,0023.png
24,pedestrian,586.0,768.0,40.0,95.0,JAAD\scene\0038,1,0024.png
25,pedestrian,588.0,768.0,40.0,95.0,JAAD\scene\0038,1,0025.png
26,pedestrian,590.0,767.0,41.0,96.0,JAAD\scene\0038,1,0026.png
27,pedestrian,591.0,767.0,41.0,96.0,JAAD\scene\0038,1,0027.png
28,pedestrian,593.0,767.0,42.0,97.0,JAAD\scene\0038,1,0028.png
29,pedestrian,595.0,767.0,42.0,97.0,JAAD\scene\0038,1,0029.png
30,pedestrian,596.0,767.0,42.0,98.0,JAAD\scene\0038,1,0030.png
31,pedestrian,597.0,767.0,43.0,98.0,JAAD\scene\0038,1,0031.png
32,pedestrian,598.0,767.0,43.0,99.0,JAAD\scene\0038,1,0032.png
33,pedestrian,599.0,767.0,43.0,99.0,JAAD\scene\0038,1,0033.png
34,pedestrian,600.0,767.0,43.0,100.0,JAAD\scene\0038,1,0034.png
35,pedestrian,601.0,767.0,44.0,100.0,JAAD\scene\0038,1,0035.png
36,pedestrian,602.0,767.0,44.0,101.0,JAAD\scene\0038,1,0036.png
37,pedestrian,603.0,767.0,44.0,101.0,JAAD\scene\0038,1,0037.png
38,pedestrian,604.0,767.0,45.0,102.0,JAAD\scene\0038,1,0038.png
39,pedestrian,605.0,767.0,45.0,103.0,JAAD\scene\0038,1,0039.png
40,pedestrian,606.0,767.0,45.0,103.0,JAAD\scene\0038,1,0040.png
41,pedestrian,607.0,767.0,45.0,104.0,JAAD\scene\0038,1,0041.png
42,pedestrian,609.0,767.0,46.0,104.0,JAAD\scene\0038,1,0042.png
43,pedestrian,610.0,767.0,46.0,105.0,JAAD\scene\0038,1,0043.png
44,pedestrian,611.0,767.0,46.0,105.0,JAAD\scene\0038,1,0044.png
45,pedestrian,612.0,767.0,46.0,106.0,JAAD\scene\0038,1,0045.png
46,pedestrian,613.0,767.0,47.0,107.0,JAAD\scene\0038,1,0046.png
47,pedestrian,614.0,767.0,47.0,107.0,JAAD\scene\0038,1,0047.png
48,pedestrian,615.0,767.0,47.0,108.0,JAAD\scene\0038,1,0048.png
49,pedestrian,616.0,767.0,48.0,108.0,JAAD\scene\0038,1,0049.png
50,pedestrian,617.0,767.0,48.0,109.0,JAAD\scene\0038,1,0050.png
51,pedestrian,618.0,767.0,48.0,109.0,JAAD\scene\0038,1,0051.png
52,pedestrian,619.0,767.0,48.0,110.0,JAAD\scene\0038,1,0052.png
53,pedestrian,620.0,767.0,49.0,110.0,JAAD\scene\0038,1,0053.png
54,pedestrian,621.0,767.0,49.0,111.0,JAAD\scene\0038,1,0054.png
55,pedestrian,622.0,767.0,50.0,112.0,JAAD\scene\0038,1,0055.png
56,pedestrian,624.0,767.0,50.0,112.0,JAAD\scene\0038,1,0056.png
57,pedestrian,625.0,767.0,51.0,113.0,JAAD\scene\0038,1,0057.png
58,pedestrian,626.0,767.0,51.0,113.0,JAAD\scene\0038,1,0058.png
59,pedestrian,627.0,767.0,52.0,114.0,JAAD\scene\0038,1,0059.png
60,pedestrian,629.0,766.0,53.0,115.0,JAAD\scene\0038,1,0060.png
61,pedestrian,630.0,766.0,53.0,115.0,JAAD\scene\0038,1,0061.png
62,pedestrian,631.0,766.0,54.0,116.0,JAAD\scene\0038,1,0062.png
63,pedestrian,632.0,766.0,54.0,116.0,JAAD\scene\0038,1,0063.png
64,pedestrian,634.0,766.0,55.0,117.0,JAAD\scene\0038,1,0064.png
65,pedestrian,635.0,766.0,56.0,118.0,JAAD\scene\0038,1,0065.png
66,pedestrian,636.0,766.0,56.0,118.0,JAAD\scene\0038,1,0066.png
67,pedestrian,637.0,766.0,57.0,119.0,JAAD\scene\0038,1,0067.png
68,pedestrian,639.0,766.0,57.0,119.0,JAAD\scene\0038,1,0068.png
69,pedestrian,640.0,766.0,58.0,120.0,JAAD\scene\0038,1,0069.png
70,pedestrian,641.0,765.0,59.0,121.0,JAAD\scene\0038,1,0070.png
71,pedestrian,642.0,765.0,59.0,121.0,JAAD\scene\0038,1,0071.png
72,pedestrian,644.0,765.0,60.0,122.0,JAAD\scene\0038,1,0072.png
73,pedestrian,645.0,765.0,60.0,122.0,JAAD\scene\0038,1,0073.png
74,pedestrian,646.0,765.0,61.0,123.0,JAAD\scene\0038,1,0074.png
75,pedestrian,647.0,765.0,61.0,124.0,JAAD\scene\0038,1,0075.png
76,pedestrian,648.0,765.0,62.0,124.0,JAAD\scene\0038,1,0076.png
