frame,ID,x,y,w,h,scenefolderpath,crossing_true,filename
0,pedestrian1,523.0,665.0,38.0,89.0,JAAD\scene\0098,0,0000.png
1,pedestrian1,521.0,663.0,38.0,90.0,JAAD\scene\0098,0,0001.png
2,pedestrian1,519.0,662.0,38.0,91.0,JAAD\scene\0098,0,0002.png
3,pedestrian1,517.0,660.0,38.0,92.0,JAAD\scene\0098,0,0003.png
4,pedestrian1,515.0,658.0,38.0,93.0,JAAD\scene\0098,0,0004.png
5,pedestrian1,513.0,657.0,38.0,94.0,JAAD\scene\0098,0,0005.png
6,pedestrian1,512.0,655.0,38.0,95.0,JAAD\scene\0098,0,0006.png
7,pedestrian1,510.0,653.0,38.0,95.0,JAAD\scene\0098,0,0007.png
8,pedestrian1,509.0,652.0,38.0,96.0,JAAD\scene\0098,0,0008.png
9,pedestrian1,507.0,650.0,38.0,97.0,JAAD\scene\0098,0,0009.png
10,pedestrian1,506.0,649.0,38.0,98.0,JAAD\scene\0098,0,0010.png
11,pedestrian1,505.0,648.0,38.0,98.0,JAAD\scene\0098,0,0011.png
12,pedestrian1,505.0,647.0,38.0,99.0,JAAD\scene\0098,0,0012.png
13,pedestrian1,504.0,647.0,38.0,99.0,JAAD\scene\0098,0,0013.png
14,pedestrian1,504.0,646.0,38.0,99.0,JAAD\scene\0098,0,0014.png
15,pedestrian1,504.0,646.0,38.0,99.0,JAAD\scene\0098,0,0015.png
16,pedestrian1,501.0,643.0,40.0,101.0,JAAD\scene\0098,0,0016.png
17,pedestrian1,498.0,640.0,41.0,103.0,JAAD\scene\0098,0,0017.png
18,pedestrian1,495.0,637.0,43.0,105.0,JAAD\scene\0098,0,0018.png
19,pedestrian1,493.0,636.0,45.0,106.0,JAAD\scene\0098,0,0019.png
20,pedestrian1,491.0,635.0,46.0,107.0,JAAD\scene\0098,0,0020.png
21,pedestrian1,489.0,635.0,46.0,104.0,JAAD\scene\0098,0,0021.png
22,pedestrian1,487.0,635.0,47.0,100.0,JAAD\scene\0098,0,0022.png
23,pedestrian1,486.0,636.0,47.0,99.0,JAAD\scene\0098,0,0023.png
24,pedestrian1,485.0,639.0,48.0,100.0,JAAD\scene\0098,0,0024.png
25,pedestrian1,484.0,642.0,49.0,101.0,JAAD\scene\0098,1,0025.png
26,pedestrian1,483.0,644.0,50.0,102.0,JAAD\scene\0098,1,0026.png
27,pedestrian1,482.0,640.0,50.0,110.0,JAAD\scene\0098,1,0027.png
28,pedestrian1,482.0,644.0,51.0,109.0,JAAD\scene\0098,1,0028.png
29,pedestrian1,481.0,647.0,52.0,108.0,JAAD\scene\0098,1,0029.png
30,pedestrian1,481.0,650.0,52.0,108.0,JAAD\scene\0098,1,0030.png
31,pedestrian1,481.0,651.0,53.0,107.0,JAAD\scene\0098,1,0031.png
32,pedestrian1,481.0,648.0,54.0,109.0,JAAD\scene\0098,1,0032.png
33,pedestrian1,481.0,646.0,54.0,111.0,JAAD\scene\0098,1,0033.png
34,pedestrian1,482.0,643.0,55.0,113.0,JAAD\scene\0098,1,0034.png
35,pedestrian1,482.0,642.0,55.0,114.0,JAAD\scene\0098,1,0035.png
36,pedestrian1,482.0,640.0,56.0,115.0,JAAD\scene\0098,1,0036.png
37,pedestrian1,483.0,639.0,56.0,116.0,JAAD\scene\0098,1,0037.png
38,pedestrian1,483.0,638.0,57.0,117.0,JAAD\scene\0098,1,0038.png
39,pedestrian1,484.0,638.0,57.0,117.0,JAAD\scene\0098,1,0039.png
40,pedestrian1,485.0,638.0,57.0,117.0,JAAD\scene\0098,1,0040.png
41,pedestrian1,485.0,639.0,57.0,117.0,JAAD\scene\0098,1,0041.png
42,pedestrian1,486.0,639.0,57.0,117.0,JAAD\scene\0098,1,0042.png
43,pedestrian1,488.0,640.0,58.0,117.0,JAAD\scene\0098,1,0043.png
44,pedestrian1,489.0,642.0,58.0,117.0,JAAD\scene\0098,1,0044.png
