frame,ID,x,y,w,h,scenefolderpath,crossing_true,filename
0,pedestrian,1081.0,649.0,20.0,62.0,JAAD\scene\0032,1,0000.png
1,pedestrian,1076.0,651.0,24.0,60.0,JAAD\scene\0032,1,0001.png
2,pedestrian,1071.0,652.0,27.0,58.0,JAAD\scene\0032,1,0002.png
3,pedestrian,1067.0,652.0,27.0,59.0,JAAD\scene\0032,1,0003.png
4,pedestrian,1063.0,651.0,26.0,59.0,JAAD\scene\0032,1,0004.png
5,pedestrian,1059.0,651.0,26.0,60.0,JAAD\scene\0032,1,0005.png
6,pedestrian,1055.0,651.0,26.0,60.0,JAAD\scene\0032,1,0006.png
7,pedestrian,1051.0,651.0,25.0,61.0,JAAD\scene\0032,1,0007.png
8,pedestrian,1047.0,651.0,25.0,61.0,JAAD\scene\0032,1,0008.png
9,pedestrian,1044.0,651.0,24.0,62.0,JAAD\scene\0032,1,0009.png
10,pedestrian,1042.0,650.0,23.0,62.0,JAAD\scene\0032,1,0010.png
11,pedestrian,1039.0,650.0,22.0,63.0,JAAD\scene\0032,1,0011.png
12,pedestrian,1036.0,649.0,22.0,63.0,JAAD\scene\0032,1,0012.png
13,pedestrian,1033.0,648.0,23.0,64.0,JAAD\scene\0032,1,0013.png
14,pedestrian,1030.0,647.0,23.0,64.0,JAAD\scene\0032,1,0014.png
15,pedestrian,1028.0,646.0,23.0,64.0,JAAD\scene\0032,1,0015.png
16,pedestrian,1026.0,646.0,22.0,65.0,JAAD\scene\0032,1,0016.png
17,pedestrian,1024.0,645.0,22.0,65.0,JAAD\scene\0032,1,0017.png
18,pedestrian,1023.0,645.0,22.0,65.0,JAAD\scene\0032,1,0018.png
19,pedestrian,1021.0,645.0,22.0,65.0,JAAD\scene\0032,1,0019.png
20,pedestrian,1020.0,645.0,23.0,66.0,JAAD\scene\0032,1,0020.png
21,pedestrian,1018.0,644.0,24.0,66.0,JAAD\scene\0032,1,0021.png
22,pedestrian,1017.0,644.0,25.0,67.0,JAAD\scene\0032,1,0022.png
23,pedestrian,1017.0,643.0,25.0,68.0,JAAD\scene\0032,1,0023.png
